NEAREST NEIGHBOR COMPARISON REPORT
==================================
Total targets compared: 500
Neighbors per target: 10
Comparison: Drop NaN vs. Fill NaN with Median (kurtosis_r)

ObjectID             | Overlap (Cnt)   | Overlap (%)    
------------------------------------------------------------
ZTF19aawkuyc         | 10              | 100.0          
ZTF18abdyauu         | 10              | 100.0          
ZTF22abssjba         | 10              | 100.0          
ZTF18abtvuqi         | 10              | 100.0          
ZTF19aarered         | 10              | 100.0          
ZTF23aajmstj         | 10              | 100.0          
ZTF18adknsyj         | 10              | 100.0          
ZTF19aaxkhee         | 10              | 100.0          
ZTF18acbanyi         | 10              | 100.0          
ZTF18abfiqjn         | 10              | 100.0          
ZTF22aaswmot         | 10              | 100.0          
ZTF18abmqwsm         | 10              | 100.0          
ZTF18aavulfk         | 10              | 100.0          
ZTF17aaajpfv         | 10              | 100.0          
ZTF22aaaufka         | 10              | 100.0          
ZTF20aaizdui         | 10              | 100.0          
ZTF23abuepsw         | 10              | 100.0          
ZTF18acmerhd         | 10              | 100.0          
ZTF18aczudza         | 10              | 100.0          
ZTF18adojzem         | 10              | 100.0          
ZTF20aaxqhie         | 10              | 100.0          
ZTF18abnjyto         | 10              | 100.0          
ZTF18adksplz         | 10              | 100.0          
ZTF18abnjzmf         | 10              | 100.0          
ZTF18abtjkxd         | 10              | 100.0          
ZTF18abutsxp         | 10              | 100.0          
ZTF19abfftib         | 10              | 100.0          
ZTF18abgfzrn         | 10              | 100.0          
ZTF20acyxpxp         | 10              | 100.0          
ZTF19aafokgt         | 10              | 100.0          
ZTF19adhxmhl         | 10              | 100.0          
ZTF18aczbgxj         | 10              | 100.0          
ZTF19aapqhiv         | 10              | 100.0          
ZTF22abxklsr         | 10              | 100.0          
ZTF19abaphjn         | 10              | 100.0          
ZTF18acaaixx         | 10              | 100.0          
ZTF20aacxrvd         | 10              | 100.0          
ZTF23abpqirk         | 10              | 100.0          
ZTF18abdlbgr         | 10              | 100.0          
ZTF18adfaowi         | 10              | 100.0          
ZTF20aajuczh         | 10              | 100.0          
ZTF18aazfiwu         | 10              | 100.0          
ZTF18ablrhzw         | 10              | 100.0          
ZTF18aasnqce         | 10              | 100.0          
ZTF18acawvxn         | 10              | 100.0          
ZTF18abmlxfw         | 10              | 100.0          
ZTF19acetwgu         | 10              | 100.0          
ZTF18abppujl         | 10              | 100.0          
ZTF19addexjv         | 10              | 100.0          
ZTF23aacpqln         | 10              | 100.0          
ZTF24aabsjvj         | 10              | 100.0          
ZTF18abjdnor         | 10              | 100.0          
ZTF23aalhlpi         | 10              | 100.0          
ZTF18adakwnk         | 10              | 100.0          
ZTF18abtpafx         | 10              | 100.0          
ZTF18abktuun         | 10              | 100.0          
ZTF18abndtru         | 10              | 100.0          
ZTF24aaiwdcn         | 10              | 100.0          
ZTF21aakjesh         | 10              | 100.0          
ZTF18abnmyzo         | 10              | 100.0          
ZTF18acahieh         | 10              | 100.0          
ZTF21aavqgtw         | 10              | 100.0          
ZTF18abfnxhj         | 10              | 100.0          
ZTF25aavqrpc         | 10              | 100.0          
ZTF25aaoqyej         | 10              | 100.0          
ZTF21acoekqc         | 10              | 100.0          
ZTF18absmnza         | 10              | 100.0          
ZTF19accdztq         | 10              | 100.0          
ZTF23absjcxo         | 10              | 100.0          
ZTF17aabutlx         | 10              | 100.0          
ZTF18adjvwoh         | 10              | 100.0          
ZTF22abnsudw         | 10              | 100.0          
ZTF18abjnpzb         | 10              | 100.0          
ZTF18acdqtsh         | 10              | 100.0          
ZTF21achthmj         | 10              | 100.0          
ZTF18aditpxd         | 10              | 100.0          
ZTF18abeaqrq         | 10              | 100.0          
ZTF20aavdgla         | 10              | 100.0          
ZTF18adqpjpz         | 10              | 100.0          
ZTF18abbkmak         | 10              | 100.0          
ZTF18abkocuu         | 10              | 100.0          
ZTF17aaailkb         | 10              | 100.0          
ZTF18aaojxuk         | 10              | 100.0          
ZTF18abxvyaq         | 10              | 100.0          
ZTF17aaaikpe         | 10              | 100.0          
ZTF18abgisqh         | 10              | 100.0          
ZTF19aamnvst         | 10              | 100.0          
ZTF18ablxdaj         | 10              | 100.0          
ZTF22aaackyl         | 10              | 100.0          
ZTF20aawpnwi         | 10              | 100.0          
ZTF19aatvwlk         | 10              | 100.0          
ZTF20abmzcsm         | 10              | 100.0          
ZTF19abgrcnu         | 10              | 100.0          
ZTF24aasbqct         | 10              | 100.0          
ZTF20abcoerl         | 10              | 100.0          
ZTF19abbcegh         | 10              | 100.0          
ZTF20acuwohp         | 10              | 100.0          
ZTF22aaavbgb         | 10              | 100.0          
ZTF23aashils         | 10              | 100.0          
ZTF18abbwvhq         | 10              | 100.0          
ZTF20acxaceo         | 10              | 100.0          
ZTF18abinhmb         | 10              | 100.0          
ZTF18aapubam         | 10              | 100.0          
ZTF18acaijpx         | 10              | 100.0          
ZTF23aadsfql         | 10              | 100.0          
ZTF18adqofic         | 10              | 100.0          
ZTF24abuvmjo         | 10              | 100.0          
ZTF18abinecd         | 10              | 100.0          
ZTF18abvkqrh         | 10              | 100.0          
ZTF23abnzrrb         | 10              | 100.0          
ZTF20abpphdx         | 10              | 100.0          
